name,category,sub_category,lat,lng,district,opening_hours,budget
Alimento Balık,Dining,World Cuisine,41.1385724,29.0536668,Sarıyer,09:00-22:00,Medium
Şehbender 14,Dining,World Cuisine,41.0297867,28.9742766,Beyoğlu,09:00-22:00,Medium
Fanfan,Dining,World Cuisine,41.1045974,29.0204877,Kağıthane,09:00-22:00,Medium
Spectra Restaurant,Dining,Regional,41.0053194,28.9742023,Fatih,09:00-22:00,Medium
tacita,Dining,World Cuisine,41.0050496,28.9732228,Fatih,09:00-22:00,Medium
Güney,Dining,Turkish,41.02601,28.974564,Beyoğlu,08:00-24:00,Medium
Big Chefs,Dining,American,41.0281177,28.9727155,Beyoğlu,09:00-22:00,Medium
Nupera,Dining,World Cuisine,41.0317028,28.9750718,Beyoğlu,09:00-22:00,Medium
Galata Kiva,Dining,World Cuisine,41.0260402,28.9742741,Beyoğlu,09:00-22:00,Medium
Miss Pizza Şişhane,Dining,Pizza,41.0286182,28.9730564,Beyoğlu,09:00-22:00,Medium
Köşebaşı,Dining,Kebab,41.084624,29.013777,Şişli,09:00-22:00,Medium
N10 Rest.,Dining,World Cuisine,41.0029232,28.8656006,Bahçelievler,09:00-22:00,Medium
Ismet Baba,Dining,Seafood,41.0367707,29.029473,Üsküdar,09:00-22:00,Medium
Van Kahvalti Muftaği,Dining,Breakfast,41.0331027,28.9824135,Beyoğlu,09:00-22:00,Medium
Terrace 41,Dining,Regional,41.0333208,28.9808585,Beyoğlu,09:00-22:00,Medium
Kör Agop,Dining,Regional,41.0304609,28.973918,Beyoğlu,09:00-22:00,Medium
Manifaturaci Draper,History & Culture,Historical Building,41.0148075,28.9710909,Fatih,09:00-22:00,Low
Kıztaşı,History & Culture,Historical Building,41.0154411,28.9502846,Fatih,09:00-22:00,Low
Atatürk,History & Culture,Historical Building,41.0150527,28.9768215,Beyoğlu,09:00-22:00,Low
Fatih Anıtı,History & Culture,Historical Building,41.0155727,28.9542189,Fatih,09:00-22:00,Low
Hava Şehitleri Anıtı,History & Culture,Historical Building,41.0160748,28.9526349,Fatih,09:00-22:00,Low
ÇC Lider Pide Tepeüstü Otoparklı Şube,Dining,Pide;Salata,41.0196302,29.1279848,Ümraniye,Mo-Su 09:00-21:00,Medium
Hong Bin Lou,Dining,World Cuisine,41.0360476,28.9891938,Beyoğlu,09:00-22:00,Medium
Borsa Lokantası,Dining,World Cuisine,41.0358603,28.9828407,Beyoğlu,09:00-22:00,Medium
Tavanarası,Dining,Turkish,41.0299932,28.9748275,Beyoğlu,09:00-22:00,Medium
The House Cafe İstiklal,Dining,European,41.0328264,28.9766652,Beyoğlu,Mo-Th 08:00-02:00; Fr-Sa 08:00-04:00; Su 08:00-01:00,Medium
Hamal,History & Culture,Historical Building,41.0144875,28.9729077,Fatih,09:00-22:00,Low
Atatürk,History & Culture,Historical Building,41.0044513,28.9733107,Fatih,09:00-22:00,Low
Mithat Paşa,History & Culture,Historical Building,41.0042194,28.9733768,Fatih,09:00-22:00,Low
By Ferro,Dining,World Cuisine,41.0051693,28.9698734,Fatih,09:00-22:00,Medium
Sima Cafe,Dining,Turkish,41.0362969,28.9921797,Beyoğlu,09:00-22:00,Medium
Cansın Restaurant,Dining,World Cuisine,41.0183471,28.9722089,Beyoğlu,09:00-22:00,Medium
Osmanlı Balıkçısı,Dining,Fish,41.0185548,28.9718521,Fatih,09:00-22:00,Medium
Ab-i Hayat,Dining,World Cuisine,41.0194337,28.972489,Beyoğlu,09:00-22:00,Medium
No:19 Dining,Dining,Turkish,41.0329704,28.9813499,Beyoğlu,09:00-22:00,Medium
Güllüoğlu,Dining,World Cuisine,41.0247673,29.0865411,Ümraniye,09:00-22:00,Medium
Koca Sinan Paşa Külliyesi,History & Culture,Historical Building,41.0088088,28.9690637,Fatih,09:00-22:00,Low
